"id","impact","description","help","helpUrl","html","target"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""u_1834630682 dmNewParagraph"" data-element-type=""paragraph"" id=""1834630682"" style=""transition: opacity 1s ease-in-out 0s;"">Dauphin County</h2>","#\31 834630682"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1726405738"" data-element-type=""paragraph"" id=""1726405738"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">SPRING STREET GARDENS</strong></div><div>DELUXE ONE &amp; TWO BEDROOM UNITS</div><div>1001 N. Spring Street</div><div>Middletown, PA</div></div>","#\31 726405738"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1708759878 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1708759878"" editablewidget=""true"">","#\31 708759878"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""u_1478057053 dmNewParagraph"" data-element-type=""paragraph"" id=""1478057053"" style=""transition: opacity 1s ease-in-out 0s;"">Perry County</h2>","#\31 478057053"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1842878741"" data-element-type=""paragraph"" id=""1842878741"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">SKYVIEW GARDENS</strong></div><div>Two Bedroom Apartments</div><div>2-11 Pfautz Road</div><div>Duncannon, PA 17020</div></div>","#\31 842878741"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1032628121 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1032628121"" editablewidget=""true"">","#\31 032628121"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""u_1768992549 dmNewParagraph"" data-element-type=""paragraph"" id=""1768992549"" style=""transition: opacity 1s ease-in-out 0s;"">Berks County</h2>","#\31 768992549"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1837486095 dmNewParagraph"" data-element-type=""paragraph"" id=""1837486095"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">State Street Villas</strong></div><div>DELUXE TWO BEDROOM UNITS</div><div>766 State Street</div><div>Hamburg, PA 19526</div></div>","#\31 837486095"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1358067586 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1358067586"" editablewidget=""true"">","#\31 358067586"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""u_1879295639 dmNewParagraph"" data-element-type=""paragraph"" id=""1879295639"" style="""" data-styletopreserve=""{"" background-image"":""""}""="""">Lycoming County</h2>","#\31 879295639"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1009207351 dmNewParagraph"" data-element-type=""paragraph"" id=""1009207351"" style="""" data-styletopreserve=""{"" background-image"":""""}""="""">","#\31 009207351"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1581239676 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1581239676"" editablewidget=""true"">","#\31 581239676"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""u_1179327928 dmNewParagraph"" data-element-type=""paragraph"" id=""1179327928"" style=""transition: opacity 1s ease-in-out 0s;"">Lackawanna County</h2>","#\31 179327928"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1308625079"" data-element-type=""paragraph"" id=""1308625079"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">TERRACE RENTALS</strong></div><div>Loft Style Two Bedroom Townhomes</div><div>31-77 Terrace Drive</div><div>Olyphant, PA 18447</div></div>","#\31 308625079"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1554693044 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1554693044"" editablewidget=""true"">","#\31 554693044"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1957534463"" data-element-type=""paragraph"" id=""1957534463"" style=""transition: opacity 1s ease-in-out 0s;"">","#\31 957534463"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1366408580"" data-element-type=""paragraph"" id=""1366408580"" style=""transition: opacity 1s ease-in-out 0s;"">","#\31 366408580"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1798918384 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1798918384"" editablewidget=""true"">","#\31 798918384"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""dmNewParagraph u_1369881096"" data-element-type=""paragraph"" id=""1369881096"" style=""transition: opacity 1s ease-in-out 0s;"">Monroe County</h2>","#\31 369881096"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1891259751"" data-element-type=""paragraph"" id=""1891259751"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">FOX GLEN GARDENS</strong></div><div>Deluxe Two &amp; THREE Bedroom Units</div><div>132 GREY FOX ROAD</div><div>East Stroudsburg, PA</div></div>","#\31 891259751"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1199693131 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1199693131"" editablewidget=""true"">","#\31 199693131"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1010889025"" data-element-type=""paragraph"" id=""1010889025"" data-styletopreserve=""{"" background-image"":""""}""="""">","#\31 010889025"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1239092382 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1239092382"" editablewidget=""true"">","#\31 239092382"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""dmNewParagraph u_1817463677"" data-element-type=""paragraph"" id=""1817463677"" style=""transition: opacity 1s ease-in-out 0s;"">Schuylkill County</h2>","#\31 817463677"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1746080494"" data-element-type=""paragraph"" id=""1746080494"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">SCHUYLKILL AVE APARTMENTS</strong></div><div>Two Bedroom Units</div><div>131 Schuylkill Avenue</div><div>Tamaqua, PA</div></div>","#\31 746080494"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1344448628"" data-element-type=""paragraph"" id=""1344448628"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">CRESSONA GARDENS</strong></div><div>Two and Three Bedroom Townhouses</div><div>0 Judy Drive</div><div>Cressona, PA 17929</div></div>","#\31 344448628"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1372193874 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1372193874"" editablewidget=""true"">","#\31 372193874"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""dmNewParagraph u_1426962330"" data-element-type=""paragraph"" id=""1426962330"" style=""transition: opacity 1s ease-in-out 0s;"">Pike County</h2>","#\31 426962330"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1451405396"" data-element-type=""paragraph"" id=""1451405396"" style=""transition: opacity 1s ease-in-out 0s;""><div><strong style="""">PADDLERS POINT</strong></div><div>3 bedroom townhomes</div><div>189 Paddlers Point</div><div>Westfall Township, PA 18336</div></div>","#\31 451405396"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1581633170 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1581633170"" editablewidget=""true"">","#\31 581633170"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""dmNewParagraph u_1088164082"" data-element-type=""paragraph"" id=""1088164082"" style=""transition: opacity 1s ease-in-out 0s;"">Montour County</h2>","#\31 088164082"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1470639409"" data-element-type=""paragraph"" id=""1470639409"" style=""transition: opacity 1s ease-in-out 0s;"">","#\31 470639409"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1010839792 imageWidget align-center"" data-element-type=""image"" data-widget-type=""image"" id=""1010839792"" editablewidget=""true"">","#\31 010839792"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""u_1074961136 dmNewParagraph"" data-element-type=""paragraph"" id=""1074961136"" style=""transition: opacity 1s ease-in-out 0s;""><span style=""color: rgb(238, 238, 238);"">Contact Us</span></h2>","#\31 074961136"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1847304025 dmRespCol small-12 large-11 medium-11"" id=""1847304025"">","#\31 847304025"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1539984040 dmRespCol small-12 large-11 medium-11"" id=""1539984040"">","#\31 539984040"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1126906428 dmRespCol small-12 large-11 medium-11"" id=""1126906428""> <div class=""u_1939100179 dmNewParagraph"" data-element-type=""paragraph"" id=""1939100179"" style=""transition: none 0s ease 0s; display: block;"">(570) 489-1851</div></div>","#\31 126906428"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1873010935 dmRespCol small-12 large-11 medium-11"" id=""1873010935"">","#\31 873010935"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1347009060 dmRespCol small-12 large-11 medium-11"" id=""1347009060"">","#\31 347009060"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1176381927 dmRespCol small-12 large-5 medium-5"" id=""1176381927"">","#\31 176381927"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmRespRow u_1087592310"" id=""1087592310"">","#\31 087592310"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmRespRow u_1704366881"" style=""text-align: center;"" id=""1704366881"">","#\31 704366881"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div id=""dmPopup"" class=""dmPopup"">","#dmPopup"
